"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"BUF","55.7","1","57.7","3-0","6","38.9","1","-20.7","6","-3.8","26","38.4","-22.4","-3.1","3.0","1","55.7","1","-22.9","31","0.6","15","16.4","20","3","2024"
"NO","52.7","2","56.8","2-1","1","24.3","4","-21.5","5","6.8","3","26.5","-22.4","7.9","2.0","7","52.7","2","-17.9","29","-11.4","31","51.2","30","3","2024"
"SEA","52.0","3","40.0","3-0","2","19.5","6","-36.4","2","-3.8","27","19.5","-23.8","-3.2","3.0","1","52.0","3","-24.2","32","6.6","5","4.6","9","3","2024"
"MIN","43.6","4","37.2","3-0","4","0.2","16","-38.2","1","5.1","4","2.2","-29.3","5.7","3.0","1","43.6","4","-1.3","17","1.9","11","6.3","12","3","2024"
"BAL","32.8","5","24.2","1-2","9","34.2","2","-2.3","10","-3.7","25","32.9","5.7","-3.0","2.1","6","32.8","5","-15.2","27","0.6","16","20.1","22","3","2024"
"PIT","24.6","6","20.8","3-0","8","-2.2","18","-23.2","4","3.5","8","-0.5","-15.1","6.2","2.4","4","24.6","6","1.9","16","-4.8","28","5.8","10","3","2024"
"GB","23.8","7","21.4","2-1","11","25.1","3","-1.8","12","-3.1","24","25.7","2.3","-1.9","2.0","8","23.8","7","-9.8","24","7.5","3","6.0","11","3","2024"
"DET","18.8","8","11.2","2-1","10","5.5","13","-8.9","9","4.4","5","5.5","-0.6","5.1","2.2","5","18.8","8","-8.7","23","9.7","2","1.5","2","3","2024"
"LAC","17.4","9","19.5","2-1","3","-5.8","20","-26.2","3","-3.0","22","-4.7","-26.0","-1.8","1.8","10","17.4","9","-15.5","28","-2.6","21","30.8","26","3","2024"
"NYJ","9.3","10","14.0","2-1","20","9.2","12","-2.3","11","-2.2","21","10.8","-4.6","-1.4","1.7","12","9.3","10","-14.2","26","5.4","8","21.8","23","3","2024"
"ARI","8.4","11","10.4","1-2","7","14.4","8","7.5","23","1.5","13","13.8","5.9","2.5","1.2","18","8.4","11","17.0","5","2.9","10","42.0","29","3","2024"
"CIN","8.2","12","8.6","0-3","16","22.7","5","9.4","24","-5.2","28","24.5","11.2","-4.7","1.5","14","8.2","12","-13.3","25","-5.8","30","2.1","5","3","2024"
"KC","6.8","13","-1.4","3-0","18","9.8","11","4.1","20","1.0","14","8.8","12.0","1.7","1.7","11","6.8","13","12.9","7","0.4","17","4.5","8","3","2024"
"HOU","5.8","14","-1.2","2-1","5","-14.2","26","-19.8","7","0.2","16","-15.0","-12.0","1.7","1.8","9","5.8","14","8.3","12","-3.8","25","33.0","28","3","2024"
"SF","5.6","15","0.6","1-2","15","16.4","7","3.4","19","-7.5","30","15.3","8.3","-6.4","1.5","15","5.6","15","9.7","10","6.5","6","15.5","19","3","2024"
"IND","2.9","16","3.2","1-2","22","1.1","15","1.8","16","3.7","7","4.4","5.3","4.0","1.6","13","2.9","16","2.7","15","-3.9","26","8.3","13","3","2024"
"ATL","-2.2","17","0.4","1-2","13","3.4","14","6.0","22","0.4","15","5.5","6.0","0.9","1.4","16","-2.2","17","9.1","11","1.7","12","2.5","6","3","2024"
"PHI","-4.1","18","-7.7","2-1","21","10.0","10","11.0","25","-3.0","23","7.8","12.8","-2.7","1.3","17","-4.1","18","24.7","1","-13.4","32","1.7","4","3","2024"
"DEN","-9.6","19","-6.0","1-2","31","-19.8","28","-0.2","13","9.9","2","-20.5","-2.5","12.0","0.3","30","-9.6","19","21.9","4","0.6","14","32.9","27","3","2024"
"TB","-10.9","20","-10.4","2-1","12","-11.0","23","1.5","15","1.5","12","-10.0","3.1","2.6","1.1","22","-10.9","20","-5.9","18","1.7","13","14.6","18","3","2024"
"NYG","-15.2","21","-17.1","1-2","29","-5.0","19","0.8","14","-9.4","31","-7.0","1.1","-9.0","1.1","23","-15.2","21","-6.1","20","4.3","9","22.2","24","3","2024"
"DAL","-15.5","22","-10.7","1-2","14","-11.1","24","19.4","28","15.1","1","-6.4","20.8","16.5","1.2","20","-15.5","22","16.8","6","-5.5","29","58.1","32","3","2024"
"NE","-19.9","23","-20.2","1-2","17","-8.7","21","14.0","26","2.9","10","-5.7","18.0","3.5","1.2","19","-19.9","23","23.2","3","-2.3","20","19.0","21","3","2024"
"CHI","-21.5","24","-17.2","1-2","24","-36.0","32","-11.6","8","2.9","9","-35.6","-14.2","4.1","0.8","27","-21.5","24","-6.5","21","7.1","4","3.6","7","3","2024"
"LAR","-23.6","25","-22.7","1-2","28","-1.5","17","24.1","31","2.0","11","-2.2","23.5","3.0","1.0","25","-23.6","25","10.9","9","12.7","1","13.4","17","3","2024"
"WAS","-26.9","26","-28.0","2-1","30","11.3","9","37.5","32","-0.7","18","16.3","44.7","0.3","0.9","26","-26.9","26","-6.0","19","-4.1","27","9.2","14","3","2024"
"TEN","-28.3","27","-34.0","0-3","23","-13.3","25","2.1","17","-13.0","32","-17.8","4.2","-12.1","0.3","31","-28.3","27","3.8","14","0.2","18","1.6","3","3","2024"
"JAX","-34.1","28","-37.0","0-3","19","-8.8","22","19.7","29","-5.6","29","-10.3","22.1","-4.6","0.8","28","-34.1","28","-7.4","22","-1.9","19","26.4","25","3","2024"
"CAR","-34.2","29","-34.5","1-2","32","-27.7","30","5.6","21","-0.9","20","-27.5","7.5","0.5","1.0","24","-34.2","29","11.0","8","-3.1","23","55.1","31","3","2024"
"CLE","-35.0","30","-36.8","1-2","27","-31.6","31","3.3","18","-0.1","17","-32.5","5.2","0.9","0.5","29","-35.0","30","-21.6","30","6.3","7","11.9","16","3","2024"
"LV","-37.0","31","-36.1","1-2","26","-18.0","27","18.3","27","-0.7","19","-16.8","19.6","0.3","0.0","32","-37.0","31","5.4","13","-3.7","24","0.3","1","3","2024"
"MIA","-43.0","32","-36.1","1-2","25","-25.3","29","22.1","30","4.4","6","-20.7","20.7","5.2","1.1","21","-43.0","32","24.6","2","-3.1","22","11.5","15","3","2024"